start,end,duration,type
2024-11-12 16:59:00-05:00,2024-11-12 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-11-13 16:59:00-05:00,2024-11-13 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-11-14 16:59:00-05:00,2024-11-14 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-11-15 11:59:00-05:00,2024-11-17 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-11-18 16:59:00-05:00,2024-11-18 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-11-19 16:59:00-05:00,2024-11-19 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-11-20 16:59:00-05:00,2024-11-20 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-11-21 16:59:00-05:00,2024-11-21 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-11-22 11:59:00-05:00,2024-11-24 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-11-25 16:59:00-05:00,2024-11-25 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-11-26 16:59:00-05:00,2024-11-26 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-11-27 16:59:00-05:00,2024-11-27 18:00:00-05:00,0 days 01:01:00,MISSING DATA
